t,v,s
2005-09-01T01:00:00Z,1.555,0.008
2005-09-01T02:00:00Z,1.277,0.003
2005-09-01T03:00:00Z,1.251,0.002
2005-09-01T04:00:00Z,1.529,0.006
2005-09-01T05:00:00Z,2.031,0.009
2005-09-01T06:00:00Z,2.621,0.009
2005-09-01T07:00:00Z,3.129,0.006
2005-09-01T08:00:00Z,3.430,0.004
2005-09-01T09:00:00Z,3.404,0.004
2005-09-01T10:00:00Z,3.038,0.007
2005-09-01T11:00:00Z,2.395,0.011
2005-09-01T12:00:00Z,1.586,0.013
2005-09-01T13:00:00Z,0.819,0.010
2005-09-01T14:00:00Z,0.238,0.007
2005-09-01T15:00:00Z,-0.021,0.003
2005-09-01T16:00:00Z,0.120,0.005
2005-09-01T17:00:00Z,0.604,0.011
2005-09-01T18:00:00Z,1.305,0.011
2005-09-01T19:00:00Z,2.031,0.010
2005-09-01T20:00:00Z,2.627,0.007
2005-09-01T21:00:00Z,2.974,0.003
2005-09-01T22:00:00Z,3.010,0.002
2005-09-01T23:00:00Z,2.749,0.007
2005-09-02T00:00:00Z,2.255,0.008
2005-09-02T01:00:00Z,1.681,0.011
2005-09-02T02:00:00Z,1.204,0.006
2005-09-02T03:00:00Z,0.970,0.002
2005-09-02T04:00:00Z,1.096,0.005
2005-09-02T05:00:00Z,1.566,0.009
2005-09-02T06:00:00Z,2.233,0.010
2005-09-02T07:00:00Z,2.875,0.009
2005-09-02T08:00:00Z,3.342,0.005
2005-09-02T09:00:00Z,3.525,0.002
2005-09-02T10:00:00Z,3.370,0.005
2005-09-02T11:00:00Z,2.873,0.010
2005-09-02T12:00:00Z,2.117,0.013
2005-09-02T13:00:00Z,1.246,0.013
2005-09-02T14:00:00Z,0.454,0.011
2005-09-02T15:00:00Z,-0.042,0.005
2005-09-02T16:00:00Z,-0.108,0.003
2005-09-02T17:00:00Z,0.263,0.008
2005-09-02T18:00:00Z,0.966,0.012
2005-09-02T19:00:00Z,1.795,0.011
2005-09-02T20:00:00Z,2.516,0.011
2005-09-02T21:00:00Z,3.004,0.007
2005-09-02T22:00:00Z,3.171,0.002
2005-09-02T23:00:00Z,3.016,0.004
2005-09-03T00:00:00Z,2.582,0.007
2005-09-03T01:00:00Z,1.952,0.010
2005-09-03T02:00:00Z,1.306,0.010
2005-09-03T03:00:00Z,0.840,0.005
2005-09-03T04:00:00Z,0.747,0.003
2005-09-03T05:00:00Z,1.081,0.007
2005-09-03T06:00:00Z,1.736,0.011
2005-09-03T07:00:00Z,2.496,0.010
2005-09-03T08:00:00Z,3.121,0.008
2005-09-03T09:00:00Z,3.512,0.004
2005-09-03T10:00:00Z,3.555,0.007
2005-09-03T11:00:00Z,3.232,0.007
2005-09-03T12:00:00Z,2.597,0.011
2005-09-03T13:00:00Z,1.736,0.013
2005-09-03T14:00:00Z,0.829,0.014
2005-09-03T15:00:00Z,0.126,0.009
2005-09-03T16:00:00Z,-0.180,0.003
2005-09-03T17:00:00Z,0.015,0.007
2005-09-03T18:00:00Z,0.636,0.012
2005-09-03T19:00:00Z,1.485,0.013
2005-09-03T20:00:00Z,2.302,0.010
2005-09-03T21:00:00Z,2.916,0.007
2005-09-03T22:00:00Z,3.242,0.003
2005-09-03T23:00:00Z,3.227,0.003
2005-09-04T00:00:00Z,2.864,0.008
2005-09-04T01:00:00Z,2.245,0.011
2005-09-04T02:00:00Z,1.498,0.010
2005-09-04T03:00:00Z,0.845,0.008
2005-09-04T04:00:00Z,0.519,0.002
2005-09-04T05:00:00Z,0.641,0.006
2005-09-04T06:00:00Z,1.193,0.010
2005-09-04T07:00:00Z,1.994,0.013
2005-09-04T08:00:00Z,2.789,0.011
2005-09-04T09:00:00Z,3.379,0.006
2005-09-04T10:00:00Z,3.649,0.002
2005-09-04T11:00:00Z,3.529,0.005
2005-09-04T12:00:00Z,3.043,0.010
2005-09-04T13:00:00Z,2.249,0.013
2005-09-04T14:00:00Z,1.339,0.014
2005-09-04T15:00:00Z,0.520,0.010
2005-09-04T16:00:00Z,0.005,0.005
2005-09-04T17:00:00Z,-0.048,0.004
2005-09-04T18:00:00Z,0.404,0.010
2005-09-04T19:00:00Z,1.231,0.013
2005-09-04T20:00:00Z,2.140,0.014
2005-09-04T21:00:00Z,2.928,0.008
2005-09-04T22:00:00Z,3.398,0.005
2005-09-04T23:00:00Z,3.501,0.006
2005-09-05T00:00:00Z,3.238,0.006
2005-09-05T01:00:00Z,2.664,0.013
2005-09-05T02:00:00Z,1.906,0.011
2005-09-05T03:00:00Z,1.126,0.011
2005-09-05T04:00:00Z,0.557,0.006
2005-09-05T05:00:00Z,0.398,0.002
2005-09-05T06:00:00Z,0.733,0.009
2005-09-05T07:00:00Z,1.469,0.014
2005-09-05T08:00:00Z,2.351,0.014
2005-09-05T09:00:00Z,3.121,0.009
2005-09-05T10:00:00Z,3.557,0.004
2005-09-05T11:00:00Z,3.623,0.002
2005-09-05T12:00:00Z,3.305,0.007
2005-09-05T13:00:00Z,2.677,0.012
2005-09-05T14:00:00Z,1.836,0.013
2005-09-05T15:00:00Z,0.965,0.012
2005-09-05T16:00:00Z,0.290,0.009
2005-09-05T17:00:00Z,0.013,0.004
2005-09-05T18:00:00Z,0.236,0.006
2005-09-05T19:00:00Z,0.935,0.014
2005-09-05T20:00:00Z,1.876,0.015
2005-09-05T21:00:00Z,2.770,0.012
2005-09-05T22:00:00Z,3.387,0.008
2005-09-05T23:00:00Z,3.638,0.002
2005-09-06T00:00:00Z,3.456,0.013
2005-09-06T01:00:00Z,2.972,0.011
2005-09-06T02:00:00Z,2.275,0.011
2005-09-06T03:00:00Z,1.479,0.012
2005-09-06T04:00:00Z,0.755,0.009
2005-09-06T05:00:00Z,0.329,0.003
2005-09-06T06:00:00Z,0.392,0.005
2005-09-06T07:00:00Z,0.955,0.011
2005-09-06T08:00:00Z,1.819,0.013
2005-09-06T09:00:00Z,2.666,0.012
2005-09-06T10:00:00Z,3.304,0.008
2005-09-06T11:00:00Z,3.601,0.004
2005-09-06T12:00:00Z,3.511,0.005
2005-09-06T13:00:00Z,3.061,0.009
2005-09-06T14:00:00Z,2.355,0.010
2005-09-06T15:00:00Z,1.550,0.012
2005-09-06T16:00:00Z,0.819,0.009
2005-09-06T17:00:00Z,0.352,0.004
2005-09-06T18:00:00Z,0.356,0.005
2005-09-06T19:00:00Z,0.843,0.009
2005-09-06T20:00:00Z,1.668,0.013
2005-09-06T21:00:00Z,2.567,0.015
2005-09-06T22:00:00Z,3.303,0.010
2005-09-06T23:00:00Z,3.710,0.004
2005-09-07T00:00:00Z,3.717,0.002
2005-09-07T01:00:00Z,3.422,0.009
2005-09-07T02:00:00Z,2.777,0.011
2005-09-07T03:00:00Z,1.957,0.017
2005-09-07T04:00:00Z,1.119,0.011
2005-09-07T05:00:00Z,0.491,0.007
2005-09-07T06:00:00Z,0.295,0.003
2005-09-07T07:00:00Z,0.610,0.009
2005-09-07T08:00:00Z,1.307,0.011
2005-09-07T09:00:00Z,2.145,0.011
2005-09-07T10:00:00Z,2.878,0.009
2005-09-07T11:00:00Z,3.361,0.005
2005-09-07T12:00:00Z,3.496,0.004
2005-09-07T13:00:00Z,3.243,0.007
2005-09-07T14:00:00Z,2.684,0.010
2005-09-07T15:00:00Z,1.955,0.012
2005-09-07T16:00:00Z,1.216,0.024
2005-09-07T17:00:00Z,0.646,0.007
2005-09-07T18:00:00Z,0.415,0.004
2005-09-07T19:00:00Z,0.660,0.008
2005-09-07T20:00:00Z,1.338,0.012
2005-09-07T21:00:00Z,2.210,0.013
2005-09-07T22:00:00Z,3.019,0.009
2005-09-07T23:00:00Z,3.541,0.006
2005-09-08T00:00:00Z,3.715,0.005
2005-09-08T01:00:00Z,3.521,0.006
2005-09-08T02:00:00Z,2.999,0.012
2005-09-08T03:00:00Z,2.237,0.012
2005-09-08T04:00:00Z,1.400,0.012
2005-09-08T05:00:00Z,0.667,0.008
2005-09-08T06:00:00Z,0.211,0.004
